Date,Product_ID,Product_Name,Category,State,City,Campaign,Base_Price,Discount_%,Final_Price,Units_Sold,Revenue,Cost_Per_Unit,Profit
2024-03-25,P004,Product_4,Beauty,Delhi,New Delhi,Clearance,689.66,20,551.73,1,551.73,536.01,15.72
2024-04-01,P015,Product_15,Beauty,Tamil Nadu,Chennai,,244.42,5,232.2,5,1161.0,179.88,261.6
2024-02-16,P006,Product_6,Apparel,Karnataka,Hubli,Summer Sale,697.8,15,593.13,71,42112.23,499.74,6630.69
2024-01-01,P016,Product_16,Electronics,Kerala,Thiruvananthapuram,New Year,716.62,5,680.79,35,23827.65,531.56,5223.05
2024-04-15,P001,Product_1,Apparel,West Bengal,Siliguri,Summer Sale,378.83,0,378.83,60,22729.8,239.8,8341.8
2024-02-21,P018,Product_18,Electronics,Uttar Pradesh,Lucknow,Diwali,582.0,5,552.9,21,11610.9,420.65,2777.25
2024-02-24,P015,Product_15,Beauty,Karnataka,Mysuru,,885.37,25,664.03,55,36521.65,500.07,9017.8
2024-02-18,P012,Product_12,Apparel,Gujarat,Vadodara,Summer Sale,957.53,30,670.27,36,24129.72,660.37,356.4
2024-04-22,P006,Product_6,Apparel,Telangana,Warangal,,555.07,5,527.32,39,20565.48,316.13,8236.41
2024-04-18,P013,Product_13,Beauty,Rajasthan,Udaipur,New Year,192.31,25,144.23,9,1298.07,100.63,392.4
2024-01-05,P019,Product_19,Beauty,Delhi,New Delhi,New Year,552.82,20,442.26,22,9729.72,362.92,1745.48
2024-03-20,P015,Product_15,Beauty,Maharashtra,Mumbai,Diwali,709.25,5,673.79,81,54576.99,427.99,19909.8
2024-03-13,P015,Product_15,Beauty,West Bengal,Siliguri,New Year,773.52,10,696.17,57,39681.69,389.83,17461.38
2024-02-01,P010,Product_10,Home,Uttar Pradesh,Varanasi,,244.33,20,195.46,37,7232.02,152.3,1596.92
2024-04-28,P018,Product_18,Electronics,Gujarat,Surat,New Year,724.55,0,724.55,23,16664.65,455.66,6184.47
